DAY,ITEM_ID,ITEM_NAME,SHIP_DATE,EXPIRY_DATE,QUANTITY,WEIGHT,PRICE,SHELL_LIFE,DAYS_TO_EXPIRY,LAG_1,LAG_2,ROLLING_MEAN,ROLLING_SD,
1,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1550,700 ml,99.00,104.00,51,NA,NA,NA,NA,
2,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1521,700 ml,99.00,104.00,51,1550,NA,NA,NA,
3,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1504,700 ml,99.00,104.00,51,1521,1550,NA,NA,
4,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1472,700 ml,99.00,104.00,51,1504,1521,NA,NA,
5,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1430,700 ml,99.00,104.00,51,1472,1504,NA,NA,
6,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1402,700 ml,99.00,104.00,51,1430,1472,NA,NA,
7,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1374,700 ml,99.00,104.00,51,1402,1430,1479.833333,56.22247475,
8,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1340,700 ml,99.00,104.00,51,1374,1402,1464.714286,65.07102347,
9,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1302,700 ml,99.00,104.00,51,1340,1374,1434.714286,67.55914516,
10,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1288,700 ml,99.00,104.00,51,1302,1340,1403.428571,71.53287622,
11,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1247,700 ml,99.00,104.00,51,1288,1302,1372.571429,67.38658903,
12,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1203,700 ml,99.00,104.00,51,1247,1288,1340.428571,65.6959084,
13,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1178,700 ml,99.00,104.00,51,1203,1247,1308,69.99761901,
14,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1141,700 ml,99.00,104.00,51,1178,1203,1276,71.05631569,
15,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1107,700 ml,99.00,104.00,51,1141,1178,1242.714286,72.06412488,
16,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1076,700 ml,99.00,104.00,51,1107,1141,1209.428571,73.43672365,
17,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1042,700 ml,99.00,104.00,51,1076,1107,1177.142857,75.60297298,
18,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,1017,700 ml,99.00,104.00,51,1042,1076,1142,72.59935721,
19,101,Kwality Walls Ice Cream,2024-07-23,2024-12-25,986,700 ml,99.00,104.00,51,1017,1042,1109.142857,69.12170082,
