DAY,ITEM_ID,ITEM_NAME,SHIP_DATE,EXPIRY_DATE,QUANTITY,WEIGHT,PRICE,SHELL_LIFE,DAYS_TO_EXPIRY,LAG_1,LAG_2,ROLLING_MEAN,ROLLING_SD
1,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1550,700 ml,99.00,62.00,93,NA,NA,NA,NA
2,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1521,700 ml,99.00,62.00,93,1550,NA,NA,NA
3,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1504,700 ml,99.00,62.00,93,1521,1550,NA,NA
4,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1472,700 ml,99.00,62.00,93,1504,1521,NA,NA
5,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1430,700 ml,99.00,62.00,93,1472,1504,NA,NA
6,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1402,700 ml,99.00,62.00,93,1430,1472,NA,NA
7,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1374,700 ml,99.00,62.00,93,1402,1430,1479.83333333333,56.2224747469076
8,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1340,700 ml,99.00,62.00,93,1374,1402,1464.71428571429,65.0710234685001
9,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1302,700 ml,99.00,62.00,93,1340,1374,1434.71428571429,67.5591451636127
10,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1288,700 ml,99.00,62.00,93,1302,1340,1403.42857142857,71.5328762245192
11,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1247,700 ml,99.00,62.00,93,1288,1302,1372.57142857143,67.3865890289187
12,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1203,700 ml,99.00,62.00,93,1247,1288,1340.42857142857,65.6959084034339
13,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1178,700 ml,99.00,62.00,93,1203,1247,1308,69.9976190071253
14,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1141,700 ml,99.00,62.00,93,1178,1203,1276,71.0563156939621
15,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1107,700 ml,99.00,62.00,93,1141,1178,1242.71428571429,72.0641248835931
16,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1076,700 ml,99.00,62.00,93,1107,1141,1209.42857142857,73.4367236534446
17,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1042,700 ml,99.00,62.00,93,1076,1107,1177.14285714286,75.6029729826118
18,101,Kwality Walls Ice Cream,2024/07/23,2024/12/25,1017,700 ml,99.00,62.00,93,1042,1076,1142,72.5993572056025
